"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","4_1","Time off","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",13.6483333333333,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",83,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2005","2005",83.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",83.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2007","2007",83.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2008","2008",83.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2009","2009",83.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",84,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",84.2,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",84.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",84.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",84.4,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",84.5,,
